"Reference" "Updated" "TotalStatesRef" "TotalStatesUpdt" "TotalTransitionsRef" "TotalTransitionsUpdt" "TotalFeaturesRef" "TotalFeaturesUpdt" "CommonFeatures" "RatioFeatures" "RatioStates" "RatioTransitions" "StatesFFSM" "TransitionsFFSM" "Precision" "Recall" "F.measure" "SPL" "Twise" "Index"
"1" "fsm_agm_2.txt" "fsm_agm_5.txt" 3 4 9 16 13 13 10 0.625 0.571428571428571 0.68 4 17 0.5 0.888889 0.64 "agm" "1wise" 1
"2" "ffsm_1_kiss.txt" "fsm_agm_3.txt" 4 3 17 9 -1 -1 -1 -1 0.571428571428571 0.730769230769231 4 19 0.777778 0.411765 0.538462 "agm" "1wise" 2
"3" "fsm_agm_6.txt" "fsm_agm_5.txt" 4 4 16 16 13 13 11 0.733333333333333 0.5 0.5625 4 18 0.875 0.875 0.875 "agm" "2wise" 1
"4" "ffsm_1_kiss.txt" "fsm_agm_4.txt" 4 4 18 16 -1 -1 -1 -1 0.5 0.647058823529412 4 22 0.75 0.666667 0.705882 "agm" "2wise" 2
"5" "ffsm_2_kiss.txt" "fsm_agm_1.txt" 4 3 22 9 -1 -1 -1 -1 0.571428571428571 0.709677419354839 4 22 1 0.409091 0.580645 "agm" "2wise" 3
"6" "ffsm_3_kiss.txt" "fsm_agm_2.txt" 4 3 22 9 -1 -1 -1 -1 0.571428571428571 0.709677419354839 4 22 1 0.409091 0.580645 "agm" "2wise" 4
"7" "ffsm_4_kiss.txt" "fsm_agm_3.txt" 4 3 22 9 -1 -1 -1 -1 0.571428571428571 0.741935483870968 4 23 0.888889 0.363636 0.516129 "agm" "2wise" 5
"8" "fsm_agm_3.txt" "fsm_agm_4.txt" 3 4 9 16 13 13 12 0.857142857142857 0.571428571428571 0.72 4 18 0.4375 0.777778 0.56 "agm" "3wise" 1
"9" "ffsm_1_kiss.txt" "fsm_agm_2.txt" 4 3 18 9 -1 -1 -1 -1 0.571428571428571 0.740740740740741 4 20 0.777778 0.388889 0.518519 "agm" "3wise" 2
"10" "ffsm_2_kiss.txt" "fsm_agm_1.txt" 4 3 20 9 -1 -1 -1 -1 0.571428571428571 0.689655172413793 4 20 1 0.45 0.62069 "agm" "3wise" 3
"11" "ffsm_3_kiss.txt" "fsm_agm_6.txt" 4 4 20 16 -1 -1 -1 -1 0.5 0.611111111111111 4 22 0.875 0.7 0.777778 "agm" "3wise" 4
"12" "ffsm_4_kiss.txt" "fsm_agm_5.txt" 4 4 22 16 -1 -1 -1 -1 0.5 0.605263157894737 4 23 0.9375 0.681818 0.789474 "agm" "3wise" 5
"13" "fsm_agm_2.txt" "fsm_agm_6.txt" 3 4 9 16 13 13 12 0.857142857142857 0.571428571428571 0.64 4 16 0.5625 1 0.72 "agm" "4wise" 1
"14" "ffsm_1_kiss.txt" "fsm_agm_5.txt" 4 4 16 16 -1 -1 -1 -1 0.5 0.5625 4 18 0.875 0.875 0.875 "agm" "4wise" 2
"15" "ffsm_2_kiss.txt" "fsm_agm_3.txt" 4 3 18 9 -1 -1 -1 -1 0.571428571428571 0.740740740740741 4 20 0.777778 0.388889 0.518519 "agm" "4wise" 3
"16" "ffsm_3_kiss.txt" "fsm_agm_4.txt" 4 4 20 16 -1 -1 -1 -1 0.5 0.638888888888889 4 23 0.8125 0.65 0.722222 "agm" "4wise" 4
"17" "ffsm_4_kiss.txt" "fsm_agm_1.txt" 4 3 23 9 -1 -1 -1 -1 0.571428571428571 0.71875 4 23 1 0.391304 0.5625 "agm" "4wise" 5
"18" "fsm_agm_1.txt" "fsm_agm_4.txt" 3 4 9 16 13 13 10 0.625 0.571428571428571 0.72 4 18 0.4375 0.777778 0.56 "agm" "all" 1
"19" "ffsm_1_kiss.txt" "fsm_agm_3.txt" 4 3 18 9 -1 -1 -1 -1 0.571428571428571 0.703703703703704 4 19 0.888889 0.444444 0.592593 "agm" "all" 2
"20" "ffsm_2_kiss.txt" "fsm_agm_5.txt" 4 4 19 16 -1 -1 -1 -1 0.5 0.628571428571429 4 22 0.8125 0.684211 0.742857 "agm" "all" 3
